# Job started on: Wed Oct  9 12:45:45 CEST 2013 ..........
# FONLL heavy quark hadroproduction cross section
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 0.56
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0.125
# ptmax = 50.125
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
#  pt      central      min       max       min_sc     max_sc     min_mass   max_mass   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
  11.8750 3.6678e+05 2.8581e+05 4.8423e+05 2.8930e+05 4.7975e+05 3.4328e+05 3.9890e+05 4.2829e+05 3.2458e+05 4.0382e+05 2.8930e+05 4.7975e+05 3.1566e+05
  12.1250 3.3428e+05 2.6129e+05 4.3952e+05 2.6437e+05 4.3552e+05 3.1332e+05 3.6304e+05 3.9022e+05 2.9585e+05 3.6719e+05 2.6437e+05 4.3552e+05 2.8884e+05
  12.3750 3.0514e+05 2.3922e+05 3.9961e+05 2.4194e+05 3.9602e+05 2.8639e+05 3.3093e+05 3.5608e+05 2.7007e+05 3.3443e+05 2.4194e+05 3.9602e+05 2.6467e+05
  12.6250 2.7894e+05 2.1931e+05 3.6392e+05 2.2173e+05 3.6069e+05 2.6215e+05 3.0212e+05 3.2539e+05 2.4691e+05 3.0507e+05 2.2173e+05 3.6069e+05 2.4284e+05
  12.8750 2.5537e+05 2.0134e+05 3.3193e+05 2.0348e+05 3.2903e+05 2.4030e+05 2.7624e+05 2.9777e+05 2.2607e+05 2.7871e+05 2.0348e+05 3.2903e+05 2.2311e+05
  13.1250 2.3411e+05 1.8507e+05 3.0321e+05 1.8698e+05 3.0059e+05 2.2056e+05 2.5294e+05 2.7287e+05 2.0727e+05 2.5501e+05 1.8698e+05 3.0059e+05 2.0523e+05
  13.3750 2.1491e+05 1.7034e+05 2.7738e+05 1.7204e+05 2.7502e+05 2.0271e+05 2.3193e+05 2.5038e+05 1.9030e+05 2.3365e+05 1.7204e+05 2.7502e+05 1.8902e+05
  13.6250 1.9754e+05 1.5697e+05 2.5411e+05 1.5849e+05 2.5197e+05 1.8654e+05 2.1295e+05 2.3004e+05 1.7494e+05 2.1438e+05 1.5849e+05 2.5197e+05 1.7430e+05
  13.8750 1.8181e+05 1.4482e+05 2.3312e+05 1.4618e+05 2.3118e+05 1.7186e+05 1.9578e+05 2.1163e+05 1.6103e+05 1.9696e+05 1.4618e+05 2.3118e+05 1.6090e+05
  14.1250 1.6754e+05 1.3377e+05 2.1414e+05 1.3499e+05 2.1238e+05 1.5853e+05 1.8023e+05 1.9492e+05 1.4841e+05 1.8119e+05 1.3499e+05 2.1238e+05 1.4871e+05
  14.3750 1.5458e+05 1.2369e+05 1.9697e+05 1.2479e+05 1.9537e+05 1.4641e+05 1.6612e+05 1.7975e+05 1.3694e+05 1.6689e+05 1.2479e+05 1.9537e+05 1.3758e+05
  14.6250 1.4278e+05 1.1451e+05 1.8141e+05 1.1550e+05 1.7995e+05 1.3536e+05 1.5331e+05 1.6595e+05 1.2651e+05 1.5392e+05 1.1550e+05 1.7995e+05 1.2743e+05
  14.8750 1.3204e+05 1.0611e+05 1.6728e+05 1.0701e+05 1.6595e+05 1.2529e+05 1.4164e+05 1.5339e+05 1.1701e+05 1.4212e+05 1.0701e+05 1.6595e+05 1.1815e+05
  15.1250 1.2224e+05 9.8439e+04 1.5444e+05 9.9247e+04 1.5322e+05 1.1609e+05 1.3102e+05 1.4193e+05 1.0834e+05 1.3137e+05 9.9247e+04 1.5322e+05 1.0965e+05
  15.3750 1.1328e+05 9.1412e+04 1.4274e+05 9.2143e+04 1.4162e+05 1.0767e+05 1.2132e+05 1.3146e+05 1.0042e+05 1.2158e+05 9.2143e+04 1.4162e+05 1.0186e+05
  15.6250 1.0509e+05 8.4970e+04 1.3208e+05 8.5633e+04 1.3105e+05 9.9971e+04 1.1246e+05 1.2189e+05 9.3170e+04 1.1263e+05 8.5633e+04 1.3105e+05 9.4722e+04
  15.8750 9.7597e+04 7.9057e+04 1.2235e+05 7.9659e+04 1.2141e+05 9.2911e+04 1.0436e+05 1.1313e+05 8.6535e+04 1.0446e+05 7.9659e+04 1.2141e+05 8.8162e+04
