# Job started on: Mon Nov 14 23:30:39 CET 2016 .....
# FONLL heavy quark hadroproduction cross section, calculated on Mon Nov 14 23:31:28 CET 2016
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0.25
# ptmax = 49.75
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  42.7500 2.4637e+03 2.1322e+03 2.8184e+03 2.1623e+03 2.7770e+03 2.4005e+03 2.5759e+03 2.3409e+03 2.5866e+03
  43.2500 2.3176e+03 2.0069e+03 2.6496e+03 2.0351e+03 2.6106e+03 2.2584e+03 2.4229e+03 2.2026e+03 2.4327e+03
  43.7500 2.1815e+03 1.8902e+03 2.4924e+03 1.9166e+03 2.4558e+03 2.1260e+03 2.2804e+03 2.0738e+03 2.2893e+03
  44.2500 2.0547e+03 1.7813e+03 2.3460e+03 1.8061e+03 2.3116e+03 2.0026e+03 2.1477e+03 1.9537e+03 2.1558e+03
  44.7500 1.9364e+03 1.6797e+03 2.2096e+03 1.7029e+03 2.1772e+03 1.8875e+03 2.0238e+03 1.8416e+03 2.0313e+03
  45.2500 1.8260e+03 1.5848e+03 2.0824e+03 1.6066e+03 2.0519e+03 1.7800e+03 1.9083e+03 1.7370e+03 1.9150e+03
  45.7500 1.7228e+03 1.4961e+03 1.9636e+03 1.5166e+03 1.9348e+03 1.6797e+03 1.8003e+03 1.6392e+03 1.8065e+03
  46.2500 1.6264e+03 1.4132e+03 1.8526e+03 1.4324e+03 1.8255e+03 1.5858e+03 1.6995e+03 1.5478e+03 1.7051e+03
  46.7500 1.5362e+03 1.3356e+03 1.7489e+03 1.3536e+03 1.7234e+03 1.4980e+03 1.6052e+03 1.4624e+03 1.6102e+03
  47.2500 1.4518e+03 1.2629e+03 1.6519e+03 1.2799e+03 1.6278e+03 1.4158e+03 1.5169e+03 1.3823e+03 1.5214e+03
  47.7500 1.3728e+03 1.1948e+03 1.5611e+03 1.2108e+03 1.5384e+03 1.3389e+03 1.4342e+03 1.3074e+03 1.4383e+03
  48.2500 1.2988e+03 1.1309e+03 1.4761e+03 1.1460e+03 1.4546e+03 1.2667e+03 1.3567e+03 1.2371e+03 1.3605e+03
  48.7500 1.2293e+03 1.0710e+03 1.3965e+03 1.0852e+03 1.3762e+03 1.1991e+03 1.2841e+03 1.1712e+03 1.2875e+03
  49.2500 1.1642e+03 1.0147e+03 1.3218e+03 1.0281e+03 1.3026e+03 1.1357e+03 1.2160e+03 1.1094e+03 1.2190e+03
  49.7500 1.1030e+03 9.6186e+02 1.2518e+03 9.7447e+02 1.2336e+03 1.0761e+03 1.1520e+03 1.0513e+03 1.1548e+03
